id,body,actor,reply,time,class
299,😋,honeylove,1,0:10,normal
211,"wow looks amazing, great day to celebrate !",HP743,1,0:05,normal
77,"me, lex and kel went there last night. Soooooooo good",southerngirlCel,1,0:02,normal
1017,yummy! 😉,katrose,7,0:16,normal
61,"Love pizza, zucchini not so much. Still might have to give it a shot sometime though",SamTHEMAN,7,0:06,normal
200,did someone say low carb?👀,TimBJenkins,7,0:08,normal
300,I want pizza too!,xin,7,0:14,normal
30,these are gorgeous!,casssssssssie,8,0:07,normal
212,i need to get over to lindleys farm on main! red decliocious are calling my name,HP743,8,0:11,normal
40,pretty!,jackrussellmom,11,0:09,normal
303,I want one!,veryhungryhanna,11,0:12,normal
213,so artsy!,HP743,13,0:05,normal
12,this is such a lovely photo!,sweetpea,13,0:04,normal
88,they're opening a Copatellis location in Cleveland next year...so pumped!,cavsforever,14,0:08,normal
41,r u sure u didnt lift this from a stock photo site lol,SnakeCharmer,14,0:05,normal
62,so good....bread is one of biggest weaknesses. Carbs are the enemy though...,SamTHEMAN,15,0:11,normal
201,"I wonder how long it would take to make all these, but i'd love to try it this weekend...",TimBJenkins,16,0:09,normal
214,eewww swordfish? dont think id be able to do that,HP743,17,0:10,normal
104,"i need one of these, like now",casssssssssie,22,0:03,normal
250,Where is this?,earthpulse,22,0:05,normal
258,I need a detox after many weekends!🤣 This looks awesome!,kittycatbakes,24,0:09,normal
215,my dad cooks the best brats...they look just like those ones,HP743,26,0:04,normal
256,omg. Seriously. Mind blowing.,breethebaker,27,0:10,normal
251,That's what I like to see.,earthpulse,27,0:06,normal
261,Beautiful!,kittycatbakes,28,0:12,normal
202,"Ha, reminds me of that japanese client who just can't eat anything spicy",Dad Jenkins,30,0:13,normal
254,"Yes, please! 🙋‍♀️",breethebaker,32,0:11,normal
301,I love cold brewed coffee. 😋,drinksonyou,32,0:14,normal
7,yo this stuff is 💯,wiz_khaleesi,32,0:10,normal
1018,Discovered cold brew only recently. Love it.,katrose,33,0:06,normal
203,I'm sure she would!!,masterchefterry,33,0:02,normal
42,I am not sure if I would it that! 🤣,kittycatbakes,37,0:13,normal
257,😋,breethebaker,39,0:09,normal
229,"That is quite the veteran play, potatoe chips work as well",TomM41,39,0:07,normal
304,Could use one of those right now,xin,39,0:14,normal
36,"Creamy here! Agree to disagree, I guess...",ancho-n-cayenne,40,0:01,normal
230,Chuncky all the way of course!,B.Mike,40,0:04,normal
262,So pretty!,kittycatbakes,41,0:05,normal
228,"Chicken Parm, dinner of champions!",TomM41,41,0:03,normal
56,"Stop posting this shit, nobody cares",bblueberryy,42,0:06,bullying
57,"your life is sad, look at what you eat",bblueberryy,45,0:10,bullying
58,when will you get it into your head that nobody likes your stupid ass.,bblueberryy,48,0:11,bullying
59,"this photo is uglier than you, and thats saying something",bblueberryy,53,0:7,bullying
263,Ohhhh this looks perfect!! Smooooooth,localewis,46,0:06,normal
302,nice!,veryhungryhanna,46,0:12,normal
46,looks nice.... But I would be a little scared eating sushi without knowing whats in it...,artisanalways,47,0:08,normal
59,"Wow, did you make those yourself?",bblueberryy,48,0:08,normal
231,"I\m a big fan of anything cheese related, definitely going to have give those a try",TomM41,48,0:15,normal
197,😍😍😍😍,KatieeeM,49,0:05,normal
66,Adorable Cass! How do you find these places?,hockeymom101,50,0:11,normal
232,looks a lot this creamy rosee sauce I used to get from Saclps....I might have to go back to my roots and start making some more creative pasta dishes again,B.Mike,52,0:03,normal
282,Ohhhh this looks perfect!! Smooooooth,tastyrobot,52,0:08,normal
60,😋,bblueberryy,53,0:02,normal
305,Cute!,katrose,53,0:10,normal
190,go bears!!,thisisalfie1998,53,0:06,normal
259,Just what this sickie 🤢 needs right now,kittycatbakes,56,0:07,normal
233,Donuts always were your kryptonite!,B.Mike,58,0:09,normal
264,Oh my and yum..👍,localewis,58,0:12,normal
35,"I had donuts with lunch again today, in case anyone was wondering.. #onaroll #winning",tastyrobot,58,0:02,normal
79,Man this DOES NOT look like donuts but now I want some lol,thisisalfie1998,58,0:03,normal
105,Only if they're Boston Cream!,TimBJenkins,58,0:05,normal
1000,"I admit, I love DUNKIN DONUTS 🤦",veryhungryhanna,58,0:15,normal
171,Doing it right!,MedicalRyan,61,0:08,normal
175,#refreshing!,MedicalRyan,62,0:03,normal
