id,body,actor,reply,class,time
299,😋,honeylove,1,normal,0:10
211,"wow looks amazing, great day to celebrate !",HP743,1,normal,0:05
77,"me, lex and kel went there last night. Soooooooo good",southerngirlCel,1,normal,0:02
1017,yummy! 😉,katrose,7,normal,0:16
61,"Love pizza, zucchini not so much. Still might have to give it a shot sometime though",SamTHEMAN,7,normal,0:06
200,did someone say low carb?👀,TimBJenkins,7,normal,0:08
300,I want pizza too!,xin,7,normal,0:14
30,these are gorgeous!,casssssssssie,8,normal,0:07
212,i need to get over to lindleys farm on main! red decliocious are calling my name,HP743,8,normal,0:11
40,pretty!,jackrussellmom,11,normal,0:09
303,I want one!,veryhungryhanna,11,normal,0:12
213,so artsy!,HP743,13,normal,0:05
12,this is such a lovely photo!,sweetpea,13,normal,0:04
88,they're opening a Copatellis location in Cleveland next year...so pumped!,cavsforever,14,normal,0:08
41,r u sure u didnt lift this from a stock photo site lol,SnakeCharmer,14,normal,0:05
62,so good....bread is one of biggest weaknesses. Carbs are the enemy though...,SamTHEMAN,15,normal,0:11
201,"I wonder how long it would take to make all these, but i'd love to try it this weekend...",TimBJenkins,16,normal,0:09
214,eewww swordfish? dont think id be able to do that,HP743,17,normal,0:10
104,"i need one of these, like now",casssssssssie,22,normal,0:03
250,Where is this?,earthpulse,22,normal,0:05
258,I need a detox after many weekends!🤣 This looks awesome!,kittycatbakes,24,normal,0:09
215,my dad cooks the best brats...they look just like those ones,HP743,26,normal,0:04
256,omg. Seriously. Mind blowing.,breethebaker,27,normal,0:10
251,That's what I like to see.,earthpulse,27,normal,0:06
261,Beautiful!,kittycatbakes,28,normal,0:12
202,"Ha, reminds me of that japanese client who just can't eat anything spicy",Dad Jenkins,30,normal,0:13
254,"Yes, please! 🙋‍♀️",breethebaker,32,normal,0:11
301,I love cold brewed coffee. 😋,drinksonyou,32,normal,0:14
7,yo this stuff is 💯,wiz_khaleesi,32,normal,0:10
1018,Discovered cold brew only recently. Love it.,katrose,33,normal,0:06
203,I'm sure she would!!,masterchefterry,33,normal,0:02
42,I am not sure if I would it that! 🤣,kittycatbakes,37,normal,0:13
257,😋,breethebaker,39,normal,0:09
229,"That is quite the veteran play, potatoe chips work as well",TomM41,39,normal,0:07
304,Could use one of those right now,xin,39,normal,0:14
36,"Creamy here! Agree to disagree, I guess...",ancho-n-cayenne,40,normal,0:01
230,Chuncky all the way of course!,B.Mike,40,normal,0:04
262,So pretty!,kittycatbakes,41,normal,0:05
228,"Chicken Parm, dinner of champions!",TomM41,41,normal,0:03
56,"Stop posting this shit, nobody cares",bblueberryy,42,bullying,0:06
57,"your life is sad, look at what you eat",bblueberryy,45,bullying,0:10
58,when will you get it into your head that nobody likes your stupid ass.,bblueberryy,48,bullying,0:11
59,"this photo is uglier than you, and thats saying something",bblueberryy,53,bullying,0:10
263,Ohhhh this looks perfect!! Smooooooth,localewis,46,normal,0:06
302,nice!,veryhungryhanna,46,normal,0:12
46,looks nice.... But I would be a little scared eating sushi without knowing whats in it...,artisanalways,47,normal,0:08
59,"Wow, did you make those yourself?",bblueberryy,48,normal,0:08
231,"I\m a big fan of anything cheese related, definitely going to have give those a try",TomM41,48,normal,0:15
197,😍😍😍😍,KatieeeM,49,normal,0:05
66,Adorable Cass! How do you find these places?,hockeymom101,50,normal,0:11
232,looks a lot this creamy rosee sauce I used to get from Saclps....I might have to go back to my roots and start making some more creative pasta dishes again,B.Mike,52,normal,0:03
282,Ohhhh this looks perfect!! Smooooooth,tastyrobot,52,normal,0:08
60,😋,bblueberryy,53,normal,0:02
305,Cute!,katrose,53,normal,0:10
190,go bears!!,thisisalfie1998,53,normal,0:06
259,Just what this sickie 🤢 needs right now,kittycatbakes,56,normal,0:07
233,Donuts always were your kryptonite!,B.Mike,58,normal,0:09
264,Oh my and yum..👍,localewis,58,normal,0:12
35,"I had donuts with lunch again today, in case anyone was wondering.. #onaroll #winning",tastyrobot,58,normal,0:02
79,Man this DOES NOT look like donuts but now I want some lol,thisisalfie1998,58,normal,0:03
105,Only if they're Boston Cream!,TimBJenkins,58,normal,0:05
1000,"I admit, I love DUNKIN DONUTS 🤦",veryhungryhanna,58,normal,0:15
171,Doing it right!,MedicalRyan,61,normal,0:08
175,#refreshing!,MedicalRyan,62,normal,0:03
178,YAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAS,MedicalRyan,63,normal,0:04
1003,"Yes, me too!",raqueldunn,63,normal,0:09
1001,"Oh my @Ryan Loves TACO, your comments are so funny. But let me tell you this, this cake was beyond!!!!",ria_camiii,63,normal,0:04
1002,I want a piece!,veryhungryhanna,63,normal,0:07
51,Looks good1,coachmatthews,64,normal,0:05
179,Try strawberries and banananananananan!,MedicalRyan,64,normal,0:08
255,OMG! All my favourite things!,breethebaker,65,normal,0:04
14,Whateva....,artisanalways,66,normal,0:05
15,so smart! I still prefer the texture of actual ramen though...,breathe_in,66,normal,0:08
13,genius! 😂,localewis,66,normal,0:02
23,that's a disappointment. you should complain,NoahM1121,67,normal,0:10
5,I've always wanted to make challah! I hope mine comes out looking this good!,casssssssssie,69,normal,0:04
1004,I would love to have the recipe too. Its kind hard to get bread right.,honeylove,69,normal,0:07
1005,"I like baking my own bread too, but I have no idea how to make challah. Is it based on yeast?",jonsmith88,69,normal,0:10
4,Your challah came out so good looking! My family loves it but mine always gets a little flat. Do you mind sending me your recipe? Or even if you have any tips to share?,livelaughlove,69,normal,0:03
265,delicious!,localewis,71,normal,0:03
47,"be grateful that they like broccoli! 😂 They will get used to it though, i am sure",coachmatthews,73,normal,0:03
281,mmmm! Looks so yummy and perfect for a chilly night.,tastyrobot,73,normal,0:11
191,reminds me of the good ole times at #chelseamarket !,thisisalfie1998,73,normal,0:06
22,I totally feel you here. The third that has the greens on it is always the biggest struggle.,breethebaker,75,normal,0:02
67,"Wow, what a great idea. I wonder if my guys would try it...",hockeymom101,76,normal,0:04
306,Are those pecan nuts?,honeylove,76,normal,0:05
53,Sweeeeeet! :DDDD,lavenderrrrrr,76,normal,0:01
1007,YUM!,cassiechan,77,normal,0:07
1006,What I could eat RIGHT NOW,jteek,77,normal,0:05
297,😍😍my iron levels are screaming for this!,lucyinurdreams,77,normal,0:02
237,three meats? i look to call that the jackpot,Smitty12,77,normal,0:01
83,Awesome picture! I dig it.,ayoitsayo,78,normal,0:11
204,Do you know you can make bagels yourself? They are healthier!!,masterchefterry,78,normal,0:12
49,"you could probly make that at home for cheaper... but nonetheless, getting hungry now.",mateoV,78,normal,0:08
24,I hope it was good at least?,M.Kapadia92,79,normal,0:04
25,that sucks :C,ria_camiii,79,normal,0:05
216,i would have to politely disagree... too spicy,HP743,80,normal,0:06
65,We love Aiellos! They're sauces are to die for :),hockeymom101,81,normal,0:02
308,"haha, had those too when I was there!",james_c,81,normal,0:14
286,Yummm this is where the party is at,jiruletheworld,81,normal,0:09
110,PASTAAAAAAAAA YASSSSS. 😅,MedicalRyan,81,normal,0:03
236,Aiellos still has nothing on Cimpanis if you ask me !,Smitty12,81,normal,0:06
192,Man Aiello is always the best!,thisisalfie1999,81,normal,0:06
113,Wooooo...,BeardedMatt,82,normal,0:07
20,I've had it! Watching the process is definitely the best part haha,lee.alexa,83,normal,0:03
116,"There's a place called 10below in NYC that does this, real goooood.",Lisa181818,83,normal,0:07
21,"I haven't had it, but I think I need to. Matcha ice cream is the best.",livelaughlove,83,normal,0:06
1008,That is a funny way to do scoops,marvelousmia,83,normal,0:12
206,🍨🍨🍨💖💖💖,mewranda,83,normal,0:10
121,"I tried it in Chinatown, it's good",this_jack,83,normal,0:08
240,Looks amazing! I love eggplant parm!,Ataylor,84,normal,0:06
120,Oh boy I am hungry,this_jack,84,normal,0:02
273,Heaven on a plate!,breathe_in,85,normal,0:04
124,Bravo,EmmaSmith0214,85,normal,0:03
130,"WOOT, WOOT.",DonDonDonna,86,normal,0:06
267,Mouthwatering 😍😍,jupiterpride,86,normal,0:09
234,"Wow, looks interesting. Might have to find some of that to try myself",B.Mike,87,normal,0:11
131,That shirt!,DonDonDonna,87,normal,0:10
54,WOW! where can you get something like that???,earthpulse,87,normal,0:03
98,"Their brand is really starting to catch on. Good for them, great service and great food",karenM,87,normal,0:07
238,Jackfruit? Never even heard of it,Smitty12,87,normal,0:13
133,I think they are pretty popular in Japan. Savory food filling?,B.Mike,88,normal,0:02
1009,"Dude, that is simply sushi!!!???",cassiechan,88,normal,0:12
266,Yum!,localewis,88,normal,0:07
138,I remember trying it in Japan but forgot what it's called...,PatelS,88,normal,0:04
136,NICE!,BeardedMatt,89,normal,0:05
309,Good idea @Remy Lewis,cavsforever,90,normal,0:07
3,dude this photo is awesome. you should get whoever took it to join here haha,localewis,90,normal,0:06
55305,Why not trying to become a vegetarian??,youngcunningham,90,normal,0:10
217,no kiding! thats the dream <33333,HP749,91,normal,0:03
48,that looks disappointing. wings are only good if you eat too many imo,jupiterpride,92,normal,0:01
218,so truee! theres never enough!!!!!!!,PatelS,92,normal,0:04
239,Seeing any kind of wings just makes me salivate,Smitty15,92,normal,0:05
235,"I just got myself a press...I know bread is something I'm really trying to cut out, but nothing beats a good panini once in a while.",B.Mike,94,normal,0:04
10,nice shot 📷,fusionfeast,95,normal,0:04
310,that's a good picture. nice bokehh!,jonsmith88,95,normal,0:10
11,"oops, I meant burger...",lavenderrrrrr,95,normal,0:05
177,You're making me hungry!,MedicalRyan,95,normal,0:08
69,Yum. That would be a huge hit in our house...we can't keep enough ice cream in our fridge these days!,hockeymom101,96,normal,0:07
307,Yes! ;),livelaughlove,96,normal,0:01
287,This looks delicious! 😍,sweetietooth,96,normal,0:09
219,"??????!!!! I love apricots, i need one of these",PatelS,97,normal,0:04
75,"i need the recipe, apricots are my fav lolol",southerngirlCel,97,normal,0:02
183,"Somebody else made soup before, and yours looks equally yummy to meeee",MedicalRyan,98,normal,0:01
291,"Sounds like this soup has it all! Nutty, sweet, salty and toasted. I mean... yum!",sweetietooth,98,normal,0:05
184,Sour!,MedicalRyan,99,normal,0:03
244,Thats so creative! I might have to give this a try...,Ataylor,100,normal,0:05
272,😋waiting with my coffee and a spoon.,breathe_in,100,normal,0:07
185,*VISITING AMAZON.COM FOR A CROCKPOT NOW*,MedicalRyan,100,normal,0:02
34,"For everyone asking how to make soda: The basic recipe is to fill a clean, empty plastic bottle most of the way with water, add the flavored simple syrup of your choice (yes, you must use real sugar!) and a pinch of yeast. Champagne yeast is ideal if you can find it, but regular bread yeast works too. Then screw the cap on and let it sit for 24 hours or so. Taste after that time to make sure it's bubbly. If it is, put it in the fridge so it doesn't explode. Then enjoy!",earthpulse,101,normal,0:10
32,Well done! That's not something I've managed to do yet...,fusionfeast,101,normal,0:04
31,How do you make soda? Inquiring (& soda-loving) minds want to know!,lavenderrrrrr,101,normal,0:01
186,:DDDDD,MedicalRyan,101,normal,0:11
311,How did you make them?,raqueldunn,101,normal,0:12
33,So cool! How did you make it?,sweetpea,101,normal,0:06
241,"Sooo good, I'm jealous! 😅😅😅",Ataylor,102,normal,0:08
68,Dinner of champions right there lol.,hockeymom101,102,normal,0:07
289,One of my faves!,sweetietooth,102,normal,0:12
84,Lit 🔥🔥🔥,ayoitsayo,103,normal,0:02
319,NIce!,jonsmith88,103,normal,0:12
220,i'll take two :),PatelS,103,normal,0:08
288,YUM!,sweetietooth,103,normal,0:09
193,ME TOO how about we split lol,thisisalfie1999,103,normal,0:04
19,bro that's genius haha,cavsforever,104,normal,0:05
276,"It’s time for burgers, I guess 😬 thanks for sharing this one ❤️",jackrussellmom,104,normal,0:07
242,"It pays to be adventuous sometimes, even if it's just with your pizza",Ataylor,105,normal,0:02
2,great photo,M.Kapadia92,106,normal,0:03
172,You know coffee too? He's my best friend! Haha,MedicalRyan,106,normal,0:06
8,Ahhh this looks so good! Did you make it?,casssssssssie,107,normal,0:02
298,Yum!! That looks so good,lucyinurdreams,107,normal,0:06
173,Haven't had a proper breakfast for a bit.,MedicalRyan,107,normal,0:03
243,Just heard about all of your recent success! So proud of you,Ataylor,108,normal,0:04
176,:),MedicalRyan,108,normal,0:03
76," look at you, so dedicated. miss you tons, keep killin it !",southerngirlCel,108,normal,0:01
29,I love baking with ginger! this looks sooo tasty!,casssssssssie,109,normal,0:03
245,who doesnt like a good glaze?,jake_turk,109,normal,0:07
180,I want some!,MedicalRyan,109,normal,0:04
1010,LOVE!,veryhungryhanna,109,normal,0:10
181,I still like my clam chower,MedicalRyan,110,normal,0:02
182,"But veggie chowder is good too, any soup can go into my tummy.",MedicalRyan,110,normal,0:05
55,yum yum ;),Jcole9,111,normal,0:03
64,"c'mon you're making me hungry, might have to order me and the boys a few of those tonight",SamTHEMAN,111,normal,0:04
290,Yes please! 😂💜🌷,sweetietooth,111,normal,0:06
252,Ohmygooooodness! I've been meaning to tell me is that the korean bbq is a new fav in our house!,breethebaker,113,normal,0:04
292,Well if this meal isn’t the way to my husbands heart then I don’t what is.,dana84,114,normal,0:07
1,This the coolest thing I've ever seen! I have to admire this store's commitment to puns...,casssssssssie,115,normal,0:02
1011,WHAT? Really???,honeylove,115,normal,0:06
1012,Awesome!,marvelousmia,115,normal,0:07
1013,Wanna shop there.,sarahstella,115,normal,0:07
43,😂,wiz_khaleesi,115,normal,0:03
18,I love currants! This looks sooo tasty!!,casssssssssie,117,normal,0:03
312,Can you share the recipe?,veryhungryhanna,117,normal,0:08
39,That looks pretty gross hahah,MannyDL34,119,normal,0:06
44,I got food poisoning from a yorkshire pudding once so just looking at this is bringing back not-so-great memories. no offense haha,lavenderrrrrr,120,normal,0:05
109,"Interesting...I haven't been to the movies for a while, but defintiely don't remember that.",TimBJenkins,121,normal,0:02
28,It really does look gourmet! :),Jcole9,122,normal,0:03
119,I have eaten many fruit skins lol,Lisa181818,123,normal,0:02
122,"As a newyorker, I have no right to speak lol",this_jack,124,normal,0:01
123,Looks good!,this_jack,125,normal,0:04
125,CHEESE! CHEESE! CHEESE! CHEESE! CHEESE!,EmmaSmith0214,126,normal,0:04
17,looks good man,john73,126,normal,0:03
313,🤤,katrose,126,normal,0:07
93,looks like its gonna be a good night,cavsforever,127,normal,0:04
293,Looks fantastic.,dana84,127,normal,0:06
128,yummy! 😉,DonDonDonna,127,normal,0:05
1014,CORN! haha,itstrevor,127,normal,0:08
246,grill them up baby!,jake_turk,127,normal,0:05
280,Love the presentation! These look delicious 🤤,tastyrobot,128,normal,0:07
92,"I still remember when you first told me that story at Nif's, so funny ",cavsforever,131,normal,0:05
38,"I love old cookbooks, they're always full of gems!",casssssssssie,132,normal,0:03
27,delicious! Makes me want to break out the panini maker!,breathe_in,135,normal,0:06
50,avocado-love!!! lol,_aikira_,136,normal,0:02
318,😋Avocado salads are sooo good.,honeylove,136,normal,0:04
56,My mom loves the homemade cakes I make her for her birthdays.,coachmatthews,137,normal,0:02
188,I should call my mom as well...,mariaann,137,normal,0:12
111,I'd be jealous if I was your dad! Happy B-day to your mom!,MedicalRyan,137,normal,0:06
72,Happy bday to your mom and all the best to the family mateo,Smitty12,137,normal,0:03
114,Nice chick!,BeardedMatt,138,normal,0:07
95,"Look at you Mateo, husband of the year!",karenM,138,normal,0:05
205,"I NEED THIS RECIPE, LIKE, NOWWWWW",masterchefterry,138,normal,0:08
6,Beautiful! What variety is it?,bblueberryy,139,normal,0:04
91,"can't wait till my peppers start to ripen, gotta love homegrown veggies!!!",cavsforever,139,normal,0:06
96,"My tomatoes never turn out in our backyard. You must be doing something right, they look delicious!",karenM,139,normal,0:10
194,your dad should start a 🍅business and I'm not kidding,thisisalfie1999,139,normal,0:11
26,this looks like an amazing healthy meal!,bblueberryy,141,normal,0:03
260,That looks so good. Eating right is always hard on holiday whatever it is.,kittycatbakes,141,normal,0:05
294,Extraordinary,dana84,142,normal,0:09
94,I love it! Have you ever tried it with any meats?  😉,karenM,142,normal,0:05
187,"add ""chinese"" in front of a food and it will immediately gets better haha",mariaann,144,normal,0:06
45,bro you eat too much ice cream ... haahaaa,localewis,145,normal,0:07
112,"Burned edges are always a good sign of home-made pizza, who cares? <3",MedicalRyan,147,normal,0:04
115,It's okay. My tree is still up. lol,BeardedMatt,148,normal,0:03
268,Wow this looks good!,jupiterpride,148,normal,0:08
117,Seafood always goes well with pasta. Yum,Lisa181818,149,normal,0:02
295,Yum,dana84,150,normal,0:04
118,Low-sodium diet I guess. Haha,Lisa181818,150,normal,0:01
126,Miss college days!,EmmaSmith0214,151,normal,0:04
66000,ssssss$$$askjll,Marcymaniac,151,normal,0:01
132,"Emma, it's good, you shouls try it. Just more syrup. You know how they do it in the south. lol",B.Mike,152,normal,0:05
127,Woooo. never tried it. How's it?,EmmaSmith0214,152,normal,0:02
1015,Could have a waffle right now.... Actually.,honeylove,152,normal,0:09
189,Anyone ever thought about a combination of tacos and waffles? they rhyme!,mariaann,152,normal,0:06
207,#texanpride,MomFiona,152,normal,0:08
134,Beautiful,B.Mike,153,normal,0:07
129,Glaze!,DonDonDonna,153,normal,0:05
135,Haha,B.Mike,154,normal,0:04
52,im sure this was really good but I could never do the marshmallows with dinner. way too sweet!,lavenderrrrrr,154,normal,0:03
9,Sounds like these would make an awesome dessert too.,caffeinated,155,normal,0:02
137,Yeppie. Breakfasts like day start your day right.,PatelS,155,normal,0:04
71,Nothing compares to our Chowdaa from the east coast,Smitty12,156,normal,0:04
106,"I love seafood chowder, especially with some nice black pepper sprinkled on top.",TimBJenkins,156,normal,0:05
16,nice! how did they taste?,localewis,157,normal,0:02
270,I want this for dinner,jupiterpride,158,normal,0:05
283,Oh yummmmm,jiruletheworld,162,normal,0:08
37,"my mouth is literally watering, what an amazing flavor combo...",jupiterpride,162,normal,0:03
316,😋,marvelousmia,162,normal,0:15
224,"Beverly makes the best quiche with brie and bell peppers, it's been too long since though...",TomM41,162,normal,0:05
296,😐... OMG,dana84,163,normal,0:09
222,all these desserts are making me sooooo hungry arhhhg,PatelS,163,normal,0:05
97,Looks yummy! ☺️☺️☺️,karenM,164,normal,0:07
221,thats my kind aparty ;),PatelS,166,normal,0:06
63,My invite must have got lost in the mail...,SamTHEMAN,166,normal,0:05
247,no meat? im sorry but I have to question your omellette-making abilities if you don't include bacon,jake_turk,169,normal,0:04
269,Loooks good though...,jupiterpride,170,normal,0:02
275,Looks absolutely delish! 😍,jackrussellmom,172,normal,0:04
271,I have to try it! It looks amazing 😍,breathe_in,173,normal,0:06
169,"Delivery, low key 200% sure lol",MannyDL34,173,normal,0:02
