id,body,picture,actor,time,class,correct ids
0,The spiralizer got some use for brunch today! #cleaneating #veggielife,20170212_152905108_iOS.jpg,coachmatthews,-20:35:00,cohort,
1,GORGEOUS spread at Saigon House for my sister's b-day dinner!,IMAG0003.jpg,coachmatthews,-11:13:00,cohort,
2,"These tilapia fillets are CRAZY easy and super healthy! Just a sprinkle of dried dill, a squeeze of lemon, and 15 minutes in the oven!",IMG_20170105_192151.jpg,coachmatthews,-0:45:00,cohort,
3,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,3:16,cohort,
4,Mr. Matthews got me this hanger for my bananas... It's only been a day but I think they're already less beat-up than they would normally be!  Three cheers for modern technology.,IMG_0440.JPG,coachmatthews,7:00,cohort,
5,Woke up late and only had time to grab one of these for breakfast. Can you say accidental splurge?,20130726_145708000_iOS.jpg,coachmatthews,16:04:00,cohort,
6,One of the moms from my K-2 class made these adorable pig cookies! How cute are they?!,20131118_154942000_iOS.jpg,coachmatthews,27:17:00,cohort,
7,"""pizza"" on zucchini slices is actually amazing! Love these easy low carb dinners.",20130721_000546845_iOS.jpg,coachmatthews,29:20:00,cohort,
8,can you believe how beautiful these farmer's market apples are? There are actually four or five different kinds here but I totally forget what they're called.,IMG_20141011_103027.jpg,coachmatthews,32:45:00,cohort,
9,can you believe how beautiful these farmer's market apples are? There are actually four or five different kinds here but I totally forget what they're called.,IMG_20140501_112920.jpg,coachmatthews,38:44:00,cohort,
10,nice layers,eaters-collective-172257.jpeg,M.Kapadia92,-22:40:00,cohort,
11,sprinkle and dot,IMG_1317.JPG,M.Kapadia92,-19:20:00,cohort,
12,a flaky feast,kowalewski-4.jpeg,M.Kapadia92,-16:59:00,cohort,
13,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,4:00,cohort,
14,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,6:40,cohort,
15,perfect baguette,petradr-748.jpeg,M.Kapadia92,9:20,cohort,
16,working breakfast,zach-miles-229108.jpeg,M.Kapadia92,19:20,cohort,
17,swordfish n broccoli rabe,alex-munsell-18756.jpeg,M.Kapadia92,22:45,cohort,
18,mom's favorite,toa-heftiba-88630.jpeg,M.Kapadia92,36:10:00,cohort,
19,great fry presentation @ Avanti on 8th av,stephanie-mccabe-92136.jpeg,M.Kapadia92,39:25:00,cohort,
20,hidden strawberry 🍓,kowalewski-8.jpeg,M.Kapadia92,28:34:00,cohort,
21,light lunch,krzysztof-98.jpeg,M.Kapadia92,30:00:00,cohort,
22,"extra cinnamon on my chai, please! <3 ☕",102_1402.JPG,ancho-n-cayenne,-3:30:00,cohort,
23,the fries were so-so but the pulled pork & fried onion sandwich was stellar!,brandon-morgan-19496.jpeg,ancho-n-cayenne,-20:41:00,cohort,
24,zesty greek chickpea salad!,IMG_0552.JPG,ancho-n-cayenne,-1:40:00,cohort,
25,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,2:45,cohort,
26,loved this spicy bratwurst lunch!,IMG_20170404_182858.jpg,ancho-n-cayenne,11:39:00,cohort,
27,the filters on this chai are egregious but it was sooooooooooooo good!,kowalewski-5.jpeg,ancho-n-cayenne,18:55:00,cohort,
28,spicy breakfast hash <33333,IMG_20170513_105531.jpg,ancho-n-cayenne,38:41:00,cohort,
29,pretty good Thai pork! could have used more chiles but I'm still a fan.,IMG_20170527_192058.jpg,ancho-n-cayenne,40:04:00,cohort,
30,"it doesn't look like it, but this ramen was amazingly spicy! I think they also added some saffron to the broth too, there was something unusual in there... 🍜 ❤️",matthew-hamilton-160833.jpeg,ancho-n-cayenne,42:03:00,cohort,
