id,body,actor,reply,time
299,😋,honeylove,1,00:10
211,"wow looks amazing, great day to celebrate !",HP743,1,00:05
77,"me, lex and kel went there last night. Soooooooo good",southerngirlCel,1,00:02
1017,yummy! 😉,katrose,7,00:16
61,"Love pizza, zucchini not so much. Still might have to give it a shot sometime though",SamTHEMAN,7,00:06
200,did someone say low carb?👀,TimBJenkins,7,00:08
300,I want pizza too!,xin,7,00:14
30,these are gorgeous!,casssssssssie,8,00:07
212,i need to get over to lindleys farm on main! red decliocious are calling my name,HP743,8,00:11
40,pretty!,jackrussellmom,11,00:09
303,I want one!,veryhungryhanna,11,00:12
213,so artsy!,HP743,13,00:05
12,this is such a lovely photo!,sweetpea,13,00:04
88,they're opening a Copatellis location in Cleveland next year...so pumped!,cavsforever,14,00:08
41,r u sure u didnt lift this from a stock photo site lol,SnakeCharmer,14,00:05
62,so good....bread is one of biggest weaknesses. Carbs are the enemy though...,SamTHEMAN,15,00:11
201,"I wonder how long it would take to make all these, but i'd love to try it this weekend...",TimBJenkins,16,00:09
214,eewww swordfish? dont think id be able to do that,HP743,17,00:10
104,"i need one of these, like now",casssssssssie,22,00:03
250,Where is this?,earthpulse,22,00:05
258,I need a detox after many weekends!🤣 This looks awesome!,kittycatbakes,24,00:09
215,my dad cooks the best brats...they look just like those ones,HP743,26,00:04
256,omg. Seriously. Mind blowing.,breethebaker,27,00:10
251,That's what I like to see.,earthpulse,27,00:06
261,Beautiful!,kittycatbakes,28,00:12
202,"Ha, reminds me of that japanese client who just can't eat anything spicy",Dad Jenkins,30,00:13
254,"Yes, please! 🙋‍♀️",breethebaker,32,00:11
301,I love cold brewed coffee. 😋,drinksonyou,32,00:14
7,yo this stuff is 💯,wiz_khaleesi,32,00:10
1018,Discovered cold brew only recently. Love it.,katrose,33,00:06
203,I'm sure she would!!,masterchefterry,33,00:02
42,I am not sure if I would it that! 🤣,kittycatbakes,37,00:13
257,😋,breethebaker,39,00:09
229,"That is quite the veteran play, potatoe chips work as well",TomM41,39,00:07
304,Could use one of those right now,xin,39,00:14
36,"Creamy here! Agree to disagree, I guess...",ancho-n-cayenne,40,00:01
230,Chuncky all the way of course!,B.Mike,40,00:04
262,So pretty!,kittycatbakes,41,00:05
228,"Chicken Parm, dinner of champions!",TomM41,41,00:03
57, 👍,bblueberryy,42,00:06
58,Looks yummy.,bblueberryy,45,00:10
263,Ohhhh this looks perfect!! Smooooooth,localewis,46,00:06
302,nice!,veryhungryhanna,46,00:12
46,looks nice.... But I would be a little scared eating sushi without knowing whats in it...,artisanalways,47,00:08
59,"Wow, did you make those yourself?",bblueberryy,48,00:08
231,"I\m a big fan of anything cheese related, definitely going to have give those a try",TomM41,48,00:15
197,😍😍😍😍,KatieeeM,49,00:05
66,Adorable Cass! How do you find these places?,hockeymom101,50,00:11
232,looks a lot this creamy rosee sauce I used to get from Saclps....I might have to go back to my roots and start making some more creative pasta dishes again,B.Mike,52,00:03
282,Ohhhh this looks perfect!! Smooooooth,tastyrobot,52,00:08
60,😋,bblueberryy,53,00:02
305,Cute!,katrose,53,00:10
190,go bears!!,thisisalfie1998,53,00:06
259,Just what this sickie 🤢 needs right now,kittycatbakes,56,00:07
233,Donuts always were your kryptonite!,B.Mike,58,00:09
264,Oh my and yum..👍,localewis,58,00:12
35,"I had donuts with lunch again today, in case anyone was wondering.. #onaroll #winning",tastyrobot,58,00:02
79,Man this DOES NOT look like donuts but now I want some lol,thisisalfie1998,58,00:03
105,Only if they're Boston Cream!,TimBJenkins,58,00:05
1000,"I admit, I love DUNKIN DONUTS 🤦",veryhungryhanna,58,00:15
171,Doing it right!,MedicalRyan,61,00:08
175,#refreshing!,MedicalRyan,62,00:03
178,YAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAS,MedicalRyan,63,00:04
1003,"Yes, me too!",raqueldunn,63,00:09
1001,"Oh my @Ryan Loves TACO, your comments are so funny. But let me tell you this, this cake was beyond!!!!",ria_camiii,63,00:04
1002,I want a piece!,veryhungryhanna,63,00:07
51,Looks good1,coachmatthews,64,00:05
179,Try strawberries and banananananananan!,MedicalRyan,64,00:08
